subject	activityName	featDomain	featInstrument	featAcceleration	featVariable	featJerk	featMagnitude	featAxis	count	avg
1	LAYING	Time	Gyroscope	NA	Mean	NA	Magnitude	NA	48	-0.950011569583333
1	LAYING	Time	Gyroscope	NA	Mean	Jerk	NA	X	48	-0.101974134208333
1	LAYING	Time	Gyroscope	NA	Mean	Jerk	NA	Y	48	-0.0358590176083333
1	LAYING	Time	Gyroscope	NA	Mean	Jerk	NA	Z	48	-0.0701783020833333
1	LAYING	Time	Gyroscope	NA	Mean	Jerk	Magnitude	NA	48	-0.991767074166667
1	LAYING	Time	Gyroscope	NA	Std	NA	NA	X	48	-0.988275232916667
1	LAYING	Time	Gyroscope	NA	Std	NA	NA	Y	48	-0.982291608958333
1	LAYING	Time	Gyroscope	NA	Std	NA	NA	Z	48	-0.960306560416667
1	LAYING	Time	Gyroscope	NA	Std	NA	Magnitude	NA	48	-0.961164053958333
1	LAYING	Time	Gyroscope	NA	Std	Jerk	NA	X	48	-0.993235849166667
1	LAYING	Time	Gyroscope	NA	Std	Jerk	NA	Y	48	-0.989567537916667
1	LAYING	Time	Gyroscope	NA	Std	Jerk	NA	Z	48	-0.98803582125
1	LAYING	Time	Gyroscope	NA	Std	Jerk	Magnitude	NA	48	-0.989718095208333
1	SITTING	Freq	Accelerometer	Body	Mean	NA	NA	X	63	-0.985528168412698
1	SITTING	Freq	Accelerometer	Body	Mean	NA	NA	Y	63	-0.955767063333333
1	SITTING	Freq	Accelerometer	Body	Mean	NA	NA	Z	63	-0.97021103968254
1	SITTING	Freq	Accelerometer	Body	Mean	NA	Magnitude	NA	63	-0.961730203174603
1	SITTING	Freq	Accelerometer	Body	Mean	Jerk	NA	X	63	-0.986367400634921
1	SITTING	Freq	Accelerometer	Body	Mean	Jerk	NA	Y	63	-0.97379824031746
1	SITTING	Freq	Accelerometer	Body	Mean	Jerk	NA	Z	63	-0.984615598412698
1	SITTING	Freq	Accelerometer	Body	Mean	Jerk	Magnitude	NA	63	-0.981781426031746
1	SITTING	Freq	Accelerometer	Body	Std	NA	NA	X	63	-0.987299863015873
1	SITTING	Freq	Accelerometer	Body	Std	NA	NA	Y	63	-0.948478940476191
1	SITTING	Freq	Accelerometer	Body	Std	NA	NA	Z	63	-0.955914811111111
1	SITTING	Freq	Accelerometer	Body	Std	NA	Magnitude	NA	63	-0.955299545396825
1	SITTING	Freq	Accelerometer	Body	Std	Jerk	NA	X	63	-0.987887133650794
1	SITTING	Freq	Accelerometer	Body	Std	Jerk	NA	Y	63	-0.977144186190476
1	SITTING	Freq	Accelerometer	Body	Std	Jerk	NA	Z	63	-0.988321486031746
1	SITTING	Freq	Accelerometer	Body	Std	Jerk	Magnitude	NA	63	-0.982326640634921
1	SITTING	Freq	Gyroscope	NA	Mean	NA	NA	X	63	-0.980317309047619
1	SITTING	Freq	Gyroscope	NA	Mean	NA	NA	Y	63	-0.981334384761905
1	SITTING	Freq	Gyroscope	NA	Mean	NA	NA	Z	63	-0.957464554444444
1	SITTING	Freq	Gyroscope	NA	Mean	NA	Magnitude	NA	63	-0.969644222698413
1	SITTING	Freq	Gyroscope	NA	Mean	Jerk	Magnitude	NA	63	-0.989455461904762
1	SITTING	Freq	Gyroscope	NA	Std	NA	NA	X	63	-0.985066622063492
1	SITTING	Freq	Gyroscope	NA	Std	NA	NA	Y	63	-0.974924673650794
1	SITTING	Freq	Gyroscope	NA	Std	NA	NA	Z	63	-0.960801812539683
1	SITTING	Freq	Gyroscope	NA	Std	NA	Magnitude	NA	63	-0.958355904920635
1	SITTING	Freq	Gyroscope	NA	Std	Jerk	Magnitude	NA	63	-0.989324498412698
1	SITTING	Time	Accelerometer	Body	Mean	NA	NA	X	63	0.275990838888889
1	SITTING	Time	Accelerometer	Body	Mean	NA	NA	Y	63	-0.0130559706333333
1	SITTING	Time	Accelerometer	Body	Mean	NA	NA	Z	63	-0.109872476460317
1	SITTING	Time	Accelerometer	Body	Mean	NA	Magnitude	NA	63	-0.966884123492064
1	SITTING	Time	Accelerometer	Body	Mean	Jerk	NA	X	63	0.0737447732380952
1	SITTING	Time	Accelerometer	Body	Mean	Jerk	NA	Y	63	0.00843244888126984
1	SITTING	Time	Accelerometer	Body	Mean	Jerk	NA	Z	63	0.00441147400634921
1	SITTING	Time	Accelerometer	Body	Mean	Jerk	Magnitude	NA	63	-0.985004427777778
1	SITTING	Time	Accelerometer	Body	Std	NA	NA	X	63	-0.98668830984127
1	SITTING	Time	Accelerometer	Body	Std	NA	NA	Y	63	-0.949019816666667
1	SITTING	Time	Accelerometer	Body	Std	NA	NA	Z	63	-0.959197317142857
1	SITTING	Time	Accelerometer	Body	Std	NA	Magnitude	NA	63	-0.953041961904762
1	SITTING	Time	Accelerometer	Body	Std	Jerk	NA	X	63	-0.986477173809524
1	SITTING	Time	Accelerometer	Body	Std	Jerk	NA	Y	63	-0.974393462222222
1	SITTING	Time	Accelerometer	Body	Std	Jerk	NA	Z	63	-0.987125191428571
1	SITTING	Time	Accelerometer	Body	Std	Jerk	Magnitude	NA	63	-0.982503243968254
1	SITTING	Time	Accelerometer	Gravity	Mean	NA	NA	X	63	0.926754419365079
1	SITTING	Time	Accelerometer	Gravity	Mean	NA	NA	Y	63	-0.0245644109816508
1	SITTING	Time	Accelerometer	Gravity	Mean	NA	NA	Z	63	0.194667894650794
1	SITTING	Time	Accelerometer	Gravity	Mean	NA	Magnitude	NA	63	-0.966884123492064
1	SITTING	Time	Accelerometer	Gravity	Std	NA	NA	X	63	-0.981345146190476
1	SITTING	Time	Accelerometer	Gravity	Std	NA	NA	Y	63	-0.957517994761905
1	SITTING	Time	Accelerometer	Gravity	Std	NA	NA	Z	63	-0.95622891968254
1	SITTING	Time	Accelerometer	Gravity	Std	NA	Magnitude	NA	63	-0.953041961904762
1	SITTING	Time	Gyroscope	NA	Mean	NA	NA	X	63	-0.0481059255555556
1	SITTING	Time	Gyroscope	NA	Mean	NA	NA	Y	63	-0.0670477260539683
1	SITTING	Time	Gyroscope	NA	Mean	NA	NA	Z	63	0.055312766968254
1	SITTING	Time	Gyroscope	NA	Mean	NA	Magnitude	NA	63	-0.942876033650794
1	SITTING	Time	Gyroscope	NA	Mean	Jerk	NA	X	63	-0.092292196984127
1	SITTING	Time	Gyroscope	NA	Mean	Jerk	NA	Y	63	-0.0410880948888889
1	SITTING	Time	Gyroscope	NA	Mean	Jerk	NA	Z	63	-0.0423168674365079
1	SITTING	Time	Gyroscope	NA	Mean	Jerk	Magnitude	NA	63	-0.990359823650794
1	SITTING	Time	Gyroscope	NA	Std	NA	NA	X	63	-0.983871471428571
1	SITTING	Time	Gyroscope	NA	Std	NA	NA	Y	63	-0.977040625714286
1	SITTING	Time	Gyroscope	NA	Std	NA	NA	Z	63	-0.956966903650794
1	SITTING	Time	Gyroscope	NA	Std	NA	Magnitude	NA	63	-0.958286353492063
1	SITTING	Time	Gyroscope	NA	Std	Jerk	NA	X	63	-0.988298261587302
1	SITTING	Time	Gyroscope	NA	Std	Jerk	NA	Y	63	-0.990581594761905
1	SITTING	Time	Gyroscope	NA	Std	Jerk	NA	Z	63	-0.984892668095238
1	SITTING	Time	Gyroscope	NA	Std	Jerk	Magnitude	NA	63	-0.989219159206349
1	STANDING	Freq	Accelerometer	Body	Mean	NA	NA	X	82	-0.981220117926829
1	STANDING	Freq	Accelerometer	Body	Mean	NA	NA	Y	82	-0.943593063658537
1	STANDING	Freq	Accelerometer	Body	Mean	NA	NA	Z	82	-0.951172404390244
1	STANDING	Freq	Accelerometer	Body	Mean	NA	Magnitude	NA	82	-0.952416237804878
1	STANDING	Freq	Accelerometer	Body	Mean	Jerk	NA	X	82	-0.977878543170732
1	STANDING	Freq	Accelerometer	Body	Mean	Jerk	NA	Y	82	-0.962504521097561
1	STANDING	Freq	Accelerometer	Body	Mean	Jerk	NA	Z	82	-0.976283085731707
1	STANDING	Freq	Accelerometer	Body	Mean	Jerk	Magnitude	NA	82	-0.971570401829268
1	STANDING	Freq	Accelerometer	Body	Std	NA	NA	X	82	-0.987128725853659
1	STANDING	Freq	Accelerometer	Body	Std	NA	NA	Y	82	-0.935687763658537
1	STANDING	Freq	Accelerometer	Body	Std	NA	NA	Z	82	-0.925095835365854
1	STANDING	Freq	Accelerometer	Body	Std	NA	Magnitude	NA	82	-0.944043882195122
1	STANDING	Freq	Accelerometer	Body	Std	Jerk	NA	X	82	-0.98060567304878
1	STANDING	Freq	Accelerometer	Body	Std	Jerk	NA	Y	82	-0.966268084878049
1	STANDING	Freq	Accelerometer	Body	Std	Jerk	NA	Z	82	-0.981982307195122
1	STANDING	Freq	Accelerometer	Body	Std	Jerk	Magnitude	NA	82	-0.971080059756098
1	STANDING	Freq	Gyroscope	NA	Mean	NA	NA	X	82	-0.943202085609756
1	STANDING	Freq	Gyroscope	NA	Mean	NA	NA	Y	82	-0.96780865804878
1	STANDING	Freq	Gyroscope	NA	Mean	NA	NA	Z	82	-0.949540942195122
1	STANDING	Freq	Gyroscope	NA	Mean	NA	Magnitude	NA	82	-0.945147761829268
1	STANDING	Freq	Gyroscope	NA	Mean	Jerk	Magnitude	NA	82	-0.974633746585366
1	STANDING	Freq	Gyroscope	NA	Std	NA	NA	X	82	-0.949998951829268
1	STANDING	Freq	Gyroscope	NA	Std	NA	NA	Y	82	-0.963967396951219
1	STANDING	Freq	Gyroscope	NA	Std	NA	NA	Z	82	-0.955834934878049
1	STANDING	Freq	Gyroscope	NA	Std	NA	Magnitude	NA	82	-0.932054063170732
1	STANDING	Freq	Gyroscope	NA	Std	Jerk	Magnitude	NA	82	-0.975178186097561
1	STANDING	Time	Accelerometer	Body	Mean	NA	NA	X	82	0.277685027926829
1	STANDING	Time	Accelerometer	Body	Mean	NA	NA	Y	82	-0.0173270487231707
1	STANDING	Time	Accelerometer	Body	Mean	NA	NA	Z	82	-0.103584368487805
1	STANDING	Time	Accelerometer	Body	Mean	NA	Magnitude	NA	82	-0.950476994512195
1	STANDING	Time	Accelerometer	Body	Mean	Jerk	NA	X	82	0.0744857463780488
1	STANDING	Time	Accelerometer	Body	Mean	Jerk	NA	Y	82	0.00740893188581707
1	STANDING	Time	Accelerometer	Body	Mean	Jerk	NA	Z	82	-0.0140488787923171
1	STANDING	Time	Accelerometer	Body	Mean	Jerk	Magnitude	NA	82	-0.975742745487805
1	STANDING	Time	Accelerometer	Body	Std	NA	NA	X	82	-0.985094464268293
1	STANDING	Time	Accelerometer	Body	Std	NA	NA	Y	82	-0.936058416707317
1	STANDING	Time	Accelerometer	Body	Std	NA	NA	Z	82	-0.930608664146341
1	STANDING	Time	Accelerometer	Body	Std	NA	Magnitude	NA	82	-0.941123374146342
1	STANDING	Time	Accelerometer	Body	Std	Jerk	NA	X	82	-0.978168694512195
1	STANDING	Time	Accelerometer	Body	Std	Jerk	NA	Y	82	-0.96289370695122
1	STANDING	Time	Accelerometer	Body	Std	Jerk	NA	Z	82	-0.979774944268293
1	STANDING	Time	Accelerometer	Body	Std	Jerk	Magnitude	NA	82	-0.971786669878049
1	STANDING	Time	Accelerometer	Gravity	Mean	NA	NA	X	82	0.91492610402439
1	STANDING	Time	Accelerometer	Gravity	Mean	NA	NA	Y	82	-0.270195977731707
1	STANDING	Time	Accelerometer	Gravity	Mean	NA	NA	Z	82	0.153688961756098
1	STANDING	Time	Accelerometer	Gravity	Mean	NA	Magnitude	NA	82	-0.950476994512195
1	STANDING	Time	Accelerometer	Gravity	Std	NA	NA	X	82	-0.98493781597561
1	STANDING	Time	Accelerometer	Gravity	Std	NA	NA	Y	82	-0.96259806
1	STANDING	Time	Accelerometer	Gravity	Std	NA	NA	Z	82	-0.930014706646341
1	STANDING	Time	Accelerometer	Gravity	Std	NA	Magnitude	NA	82	-0.941123374146342
1	STANDING	Time	Gyroscope	NA	Mean	NA	NA	X	82	-0.0257471496810976
1	STANDING	Time	Gyroscope	NA	Mean	NA	NA	Y	82	-0.0807674855487805
1	STANDING	Time	Gyroscope	NA	Mean	NA	NA	Z	82	0.0887407954707317
1	STANDING	Time	Gyroscope	NA	Mean	NA	Magnitude	NA	82	-0.942289912926829
1	STANDING	Time	Gyroscope	NA	Mean	Jerk	NA	X	82	-0.105952137963415
1	STANDING	Time	Gyroscope	NA	Mean	Jerk	NA	Y	82	-0.0426317456414634
1	STANDING	Time	Gyroscope	NA	Mean	Jerk	NA	Z	82	-0.055322505297561
1	STANDING	Time	Gyroscope	NA	Mean	Jerk	Magnitude	NA	82	-0.979204140487805
1	STANDING	Time	Gyroscope	NA	Std	NA	NA	X	82	-0.94788029804878
1	STANDING	Time	Gyroscope	NA	Std	NA	NA	Y	82	-0.965163190243902
1	STANDING	Time	Gyroscope	NA	Std	NA	NA	Z	82	-0.950714536829268
1	STANDING	Time	Gyroscope	NA	Std	NA	Magnitude	NA	82	-0.929576602073171
1	STANDING	Time	Gyroscope	NA	Std	Jerk	NA	X	82	-0.970091198170732
1	STANDING	Time	Gyroscope	NA	Std	Jerk	NA	Y	82	-0.981305279268293
1	STANDING	Time	Gyroscope	NA	Std	Jerk	NA	Z	82	-0.970915464634146
1	STANDING	Time	Gyroscope	NA	Std	Jerk	Magnitude	NA	82	-0.974150911341463
1	WALKING	Freq	Accelerometer	Body	Mean	NA	NA	X	59	-0.346048161016949
1	WALKING	Freq	Accelerometer	Body	Mean	NA	NA	Y	59	-0.0219048103322034
1	WALKING	Freq	Accelerometer	Body	Mean	NA	NA	Z	59	-0.453806369830508
1	WALKING	Freq	Accelerometer	Body	Mean	NA	Magnitude	NA	59	-0.324289427932203
1	WALKING	Freq	Accelerometer	Body	Mean	Jerk	NA	X	59	-0.304615322881356
1	WALKING	Freq	Accelerometer	Body	Mean	Jerk	NA	Y	59	-0.0787640836610169
1	WALKING	Freq	Accelerometer	Body	Mean	Jerk	NA	Z	59	-0.554956709661017
1	WALKING	Freq	Accelerometer	Body	Mean	Jerk	Magnitude	NA	59	-0.169064352813559
1	WALKING	Freq	Accelerometer	Body	Std	NA	NA	X	59	-0.457651383728814
1	WALKING	Freq	Accelerometer	Body	Std	NA	NA	Y	59	-0.16921968620339
1	WALKING	Freq	Accelerometer	Body	Std	NA	NA	Z	59	-0.455222146440678
1	WALKING	Freq	Accelerometer	Body	Std	NA	Magnitude	NA	59	-0.577105211694915
1	WALKING	Freq	Accelerometer	Body	Std	Jerk	NA	X	59	-0.31431306340678
1	WALKING	Freq	Accelerometer	Body	Std	Jerk	NA	Y	59	-0.0153329520084746
1	WALKING	Freq	Accelerometer	Body	Std	Jerk	NA	Z	59	-0.615898188474576
1	WALKING	Freq	Accelerometer	Body	Std	Jerk	Magnitude	NA	59	-0.164091969449153
1	WALKING	Freq	Gyroscope	NA	Mean	NA	NA	X	59	-0.429713536101695
1	WALKING	Freq	Gyroscope	NA	Mean	NA	NA	Y	59	-0.55477211220339
1	WALKING	Freq	Gyroscope	NA	Mean	NA	NA	Z	59	-0.396659907457627
1	WALKING	Freq	Gyroscope	NA	Mean	NA	Magnitude	NA	59	-0.530704814745763
1	WALKING	Freq	Gyroscope	NA	Mean	Jerk	Magnitude	NA	59	-0.583249293389831
1	WALKING	Freq	Gyroscope	NA	Std	NA	NA	X	59	-0.604053019152542
1	WALKING	Freq	Gyroscope	NA	Std	NA	NA	Y	59	-0.533046952542373
1	WALKING	Freq	Gyroscope	NA	Std	NA	NA	Z	59	-0.559856635084746
1	WALKING	Freq	Gyroscope	NA	Std	NA	Magnitude	NA	59	-0.651792839661017
1	WALKING	Freq	Gyroscope	NA	Std	Jerk	Magnitude	NA	59	-0.558104554745763
1	WALKING	Time	Accelerometer	Body	Mean	NA	NA	X	59	0.276426586440678
1	WALKING	Time	Accelerometer	Body	Mean	NA	NA	Y	59	-0.0185949199145763
1	WALKING	Time	Accelerometer	Body	Mean	NA	NA	Z	59	-0.105500357966102
1	WALKING	Time	Accelerometer	Body	Mean	NA	Magnitude	NA	59	-0.290407593728814
1	WALKING	Time	Accelerometer	Body	Mean	Jerk	NA	X	59	0.0618080696279661
1	WALKING	Time	Accelerometer	Body	Mean	Jerk	NA	Y	59	0.0182492679288136
1	WALKING	Time	Accelerometer	Body	Mean	Jerk	NA	Z	59	0.0078953370661017
1	WALKING	Time	Accelerometer	Body	Mean	Jerk	Magnitude	NA	59	-0.281424153881356
1	WALKING	Time	Accelerometer	Body	Std	NA	NA	X	59	-0.423642838474576
1	WALKING	Time	Accelerometer	Body	Std	NA	NA	Y	59	-0.0780912533118644
1	WALKING	Time	Accelerometer	Body	Std	NA	NA	Z	59	-0.425257524915254
1	WALKING	Time	Accelerometer	Body	Std	NA	Magnitude	NA	59	-0.422544169322034
1	WALKING	Time	Accelerometer	Body	Std	Jerk	NA	X	59	-0.277530462620339
1	WALKING	Time	Accelerometer	Body	Std	Jerk	NA	Y	59	-0.0166022362847458
1	WALKING	Time	Accelerometer	Body	Std	Jerk	NA	Z	59	-0.586090418983051
1	WALKING	Time	Accelerometer	Body	Std	Jerk	Magnitude	NA	59	-0.164150985127119
1	WALKING	Time	Accelerometer	Gravity	Mean	NA	NA	X	59	0.91301733338983
1	WALKING	Time	Accelerometer	Gravity	Mean	NA	NA	Y	59	-0.34660709
1	WALKING	Time	Accelerometer	Gravity	Mean	NA	NA	Z	59	0.0847270871186441
1	WALKING	Time	Accelerometer	Gravity	Mean	NA	Magnitude	NA	59	-0.290407593728814
1	WALKING	Time	Accelerometer	Gravity	Std	NA	NA	X	59	-0.972693201355932
1	WALKING	Time	Accelerometer	Gravity	Std	NA	NA	Y	59	-0.972116879661017
1	WALKING	Time	Accelerometer	Gravity	Std	NA	NA	Z	59	-0.972072847627119
1	WALKING	Time	Accelerometer	Gravity	Std	NA	Magnitude	NA	59	-0.422544169322034
1	WALKING	Time	Gyroscope	NA	Mean	NA	NA	X	59	-0.0530258157347458
1	WALKING	Time	Gyroscope	NA	Mean	NA	NA	Y	59	-0.0482382316949153
1	WALKING	Time	Gyroscope	NA	Mean	NA	NA	Z	59	0.0828336633220339
1	WALKING	Time	Gyroscope	NA	Mean	NA	Magnitude	NA	59	-0.446549092881356
1	WALKING	Time	Gyroscope	NA	Mean	Jerk	NA	X	59	-0.0818833429152542
1	WALKING	Time	Gyroscope	NA	Mean	Jerk	NA	Y	59	-0.0538299449067797
1	WALKING	Time	Gyroscope	NA	Mean	Jerk	NA	Z	59	-0.0514939156830508
1	WALKING	Time	Gyroscope	NA	Mean	Jerk	Magnitude	NA	59	-0.547911950338983
1	WALKING	Time	Gyroscope	NA	Std	NA	NA	X	59	-0.561550255762712
1	WALKING	Time	Gyroscope	NA	Std	NA	NA	Y	59	-0.53845366779661
1	WALKING	Time	Gyroscope	NA	Std	NA	NA	Z	59	-0.481085535084746
1	WALKING	Time	Gyroscope	NA	Std	NA	Magnitude	NA	59	-0.553019916271186
1	WALKING	Time	Gyroscope	NA	Std	Jerk	NA	X	59	-0.389549831525424
1	WALKING	Time	Gyroscope	NA	Std	Jerk	NA	Y	59	-0.634140436101695
1	WALKING	Time	Gyroscope	NA	Std	Jerk	NA	Z	59	-0.435492677288136
1	WALKING	Time	Gyroscope	NA	Std	Jerk	Magnitude	NA	59	-0.557798151355932
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	NA	NA	X	47	0.112841160325532
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	NA	NA	Y	47	0.278345041765957
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	NA	NA	Z	47	-0.131290772
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	NA	Magnitude	NA	47	0.293424826591489
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	Jerk	NA	X	47	0.138120681087234
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	Jerk	NA	Y	47	0.0962091607617021
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	Jerk	NA	Z	47	-0.271498721106383
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Mean	Jerk	Magnitude	NA	47	0.222247409576596
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	NA	NA	X	47	0.0161046198595745
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	NA	NA	Y	47	0.171973972957447
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	NA	NA	Z	47	-0.162032894287234
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	NA	Magnitude	NA	47	-0.0214787881723404
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	Jerk	NA	X	47	0.0499590624829787
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	Jerk	NA	Y	47	0.0808333491276596
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	Jerk	NA	Z	47	-0.408227423191489
1	WALKING_DOWNSTAIRS	Freq	Accelerometer	Body	Std	Jerk	Magnitude	NA	47	0.227480732542553
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Mean	NA	NA	X	47	-0.145775970406383
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Mean	NA	NA	Y	47	-0.361913824
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Mean	NA	NA	Z	47	-0.0874944736085106
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Mean	NA	Magnitude	NA	47	-0.320838543553191
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Mean	Jerk	Magnitude	NA	47	-0.380175306489362
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Std	NA	NA	X	47	-0.379436674361702
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Std	NA	NA	Y	47	-0.458732747446808
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Std	NA	NA	Z	47	-0.422987665106383
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Std	NA	Magnitude	NA	47	-0.372576755361702
1	WALKING_DOWNSTAIRS	Freq	Gyroscope	NA	Std	Jerk	Magnitude	NA	47	-0.343698985425532
1	WALKING_DOWNSTAIRS	Time	Accelerometer	Body	Mean	NA	NA	X	47	0.27761534806383
1	WALKING_DOWNSTAIRS	Time	Accelerometer	Body	Mean	NA	NA	Y	47	-0.0226614158361702
1	WALKING_DOWNSTAIRS	Time	Accelerometer	Body	Mean	NA	NA	Z	47	-0.116812942382979
1	WALKING_DOWNSTAIRS	Time	Accelerometer	Body	Mean	NA	Magnitude	NA	47	0.0899511204978723
1	WALKING_DOWNSTAIRS	Time	Accelerometer	Body	Mean	Jerk	NA	X	47	0.110040615569574
1	WALKING_DOWNSTAIRS	Time	Accelerometer	Body	Mean	Jerk	NA	Y	47	-0.00327959081489362
1	WALKING_DOWNSTAIRS	Time	Accelerometer	Body	Mean	Jerk	NA	Z	47	-0.0209351677765957
